Age,Occupation,Purchase_1,Purchase_2,Purchase_3,Purchase_4,Purchase_5,Range_of_purchases,Categories,Age_Range
47,3,3492,7860,1543,13803,8900,15000-20000,Fornitures,43-52
37,15,565,6373,1582,4969,2418,10000-15000,Electrical Products,34-43
45,15,2555,8030,426,23285,9534,15000-20000,Fornitures,43-52
32,19,1394,1825,394,6842,12886,2500-10000,Food,25-16
30,14,1805,391,1278,8285,6769,2500-10000,Food,25-16
36,4,1857,1412,1655,20928,4562,10000-15000,Electrical Products,34-43
43,5,27,4165,1708,22931,4801,10000-15000,Electrical Products,43-52
37,14,243,7263,2237,2329,14150,10000-15000,Electrical Products,34-43
46,15,1398,915,1776,19393,12433,15000-20000,Fornitures,43-52
38,11,2640,2114,2295,4572,6526,10000-15000,Electrical Products,34-43
43,10,2573,3749,43,23809,2288,10000-15000,Electrical Products,43-52
30,8,2174,5032,1078,5055,7027,2500-10000,Food,25-16
47,2,4063,6321,1440,5582,13403,15000-20000,Fornitures,43-52
51,6,1351,2274,814,21883,4968,15000-20000,Fornitures,43-52
45,5,2495,8018,1027,20517,2759,15000-20000,Fornitures,43-52
44,1,4322,3504,1481,23290,12208,15000-20000,Fornitures,43-52
33,15,4683,466,555,4551,8551,2500-10000,Food,25-16
49,6,1905,3025,706,14171,4704,15000-20000,Fornitures,43-52
53,16,4894,138,2284,11896,14303,20000-25000,Travels,52-61
58,10,650,5917,2058,7211,13420,20000-25000,Travels,52-61
46,8,2161,9626,1357,3264,4130,15000-20000,Fornitures,43-52
44,10,3917,9736,1267,17451,5745,15000-20000,Fornitures,43-52
38,15,520,123,1256,13881,12610,10000-15000,Electrical Products,34-43
40,12,4060,2874,2253,14067,7509,10000-15000,Electrical Products,34-43
50,15,4949,4599,576,21070,13061,15000-20000,Fornitures,43-52
35,13,3653,6270,1539,20824,8383,10000-15000,Electrical Products,34-43
39,4,4708,2596,2475,16879,9607,10000-15000,Electrical Products,34-43
50,8,2989,7359,911,17396,7758,15000-20000,Fornitures,43-52
48,2,2609,436,2137,2290,11195,15000-20000,Fornitures,43-52
44,16,2752,6165,2088,15128,10932,15000-20000,Fornitures,43-52
34,10,2813,1385,847,11121,343,2500-10000,Food,34-43
41,2,810,9519,582,3868,10505,10000-15000,Electrical Products,34-43
59,18,4396,2395,1793,8142,12345,20000-25000,Travels,52-61
52,12,3461,6419,908,2747,804,15000-20000,Fornitures,52-61
51,9,2517,3395,1928,4600,7714,15000-20000,Fornitures,43-52
59,10,667,860,1324,2096,5646,20000-25000,Travels,52-61
44,7,4526,7006,2000,282,13145,15000-20000,Fornitures,43-52
46,8,3139,6579,370,19647,5917,15000-20000,Fornitures,43-52
28,3,4733,3016,142,1760,1606,2500-10000,Food,25-16
64,1,3374,8729,1349,23706,14871,0-10000,Home Prodcts,61-70
52,3,3493,2398,722,20382,7498,15000-20000,Fornitures,52-61
40,15,1920,5855,2160,22534,1556,10000-15000,Electrical Products,34-43
52,20,2004,2777,123,3835,13879,15000-20000,Fornitures,52-61
51,4,1228,5089,1422,20489,6247,15000-20000,Fornitures,43-52
56,10,3238,2699,1090,11694,2318,20000-25000,Travels,52-61
57,19,1878,6723,2169,10517,14750,20000-25000,Travels,52-61
53,18,4006,7562,353,5929,7245,20000-25000,Travels,52-61
31,19,4147,1326,1979,23634,8397,2500-10000,Food,25-16
37,10,305,563,1096,13783,3172,10000-15000,Electrical Products,34-43
47,3,1766,8739,2271,16123,13691,15000-20000,Fornitures,43-52
64,20,1400,558,837,17125,12862,0-10000,Home Prodcts,61-70
60,9,888,3440,418,12914,5166,20000-25000,Travels,52-61
52,3,4497,6339,1341,24694,5907,15000-20000,Fornitures,52-61
47,12,4359,1589,647,10422,3178,15000-20000,Fornitures,43-52
59,14,4491,7834,1171,17811,9817,20000-25000,Travels,52-61
51,7,2718,2224,1822,11608,4474,15000-20000,Fornitures,43-52
50,14,1074,4147,2402,2197,2373,15000-20000,Fornitures,43-52
28,18,108,6554,2093,9294,10710,2500-10000,Food,25-16
67,11,2040,2882,2343,13671,8035,0-10000,Home Prodcts,61-70
57,12,2616,6546,1915,4865,294,20000-25000,Travels,52-61
37,1,1808,6214,2236,18982,11457,10000-15000,Electrical Products,34-43
55,19,1609,4943,2222,21245,342,20000-25000,Travels,52-61
36,7,4525,7671,1824,23575,2544,10000-15000,Electrical Products,34-43
42,9,1624,526,1130,22787,11306,10000-15000,Electrical Products,34-43
43,17,929,9063,1570,17654,2865,10000-15000,Electrical Products,43-52
43,3,3432,1187,1316,7101,14017,10000-15000,Electrical Products,43-52
43,4,1876,1983,1092,5138,11408,10000-15000,Electrical Products,43-52
34,5,3248,5190,652,12917,8963,2500-10000,Food,34-43
42,9,3958,2972,565,8685,1824,10000-15000,Electrical Products,34-43
51,2,1302,1320,736,17244,7213,15000-20000,Fornitures,43-52
30,2,2327,5812,857,23947,6637,2500-10000,Food,25-16
39,15,1558,8312,1907,6955,3928,10000-15000,Electrical Products,34-43
47,13,2210,4148,791,3756,5646,15000-20000,Fornitures,43-52
36,2,1369,2919,943,15173,3956,10000-15000,Electrical Products,34-43
66,12,662,7966,262,24491,1323,0-10000,Home Prodcts,61-70
36,13,4297,8023,1827,6391,12329,10000-15000,Electrical Products,34-43
44,8,3211,2405,157,4529,6523,15000-20000,Fornitures,43-52
57,20,3785,5392,442,3706,13858,20000-25000,Travels,52-61
39,10,3505,8734,988,11194,4913,10000-15000,Electrical Products,34-43
43,6,2358,143,874,10033,1409,10000-15000,Electrical Products,43-52
46,16,4228,7638,741,15077,5182,15000-20000,Fornitures,43-52
48,9,4736,588,245,9202,10846,15000-20000,Fornitures,43-52
52,8,1411,1328,119,22978,5864,15000-20000,Fornitures,52-61
43,16,4100,208,2263,7093,110,10000-15000,Electrical Products,43-52
42,16,4974,1319,491,8641,3213,10000-15000,Electrical Products,34-43
46,15,227,6610,492,3047,9074,15000-20000,Fornitures,43-52
46,8,2344,1656,546,9570,1423,15000-20000,Fornitures,43-52
32,12,3058,9292,2158,3917,6991,2500-10000,Food,25-16
66,3,3929,4930,793,23231,6492,0-10000,Home Prodcts,61-70
34,18,4333,2597,1559,18678,1991,2500-10000,Food,34-43
54,9,4982,1723,927,15884,13533,20000-25000,Travels,52-61
35,7,3165,3943,2374,16034,10763,10000-15000,Electrical Products,34-43
46,14,483,6481,257,24445,9610,15000-20000,Fornitures,43-52
29,6,2029,3468,2412,10030,10613,2500-10000,Food,25-16
38,19,2133,7736,660,15234,8561,10000-15000,Electrical Products,34-43
53,5,4734,1483,1730,22501,6429,20000-25000,Travels,52-61
34,14,3533,9904,282,3939,7388,2500-10000,Food,34-43
37,17,659,7532,2476,96,3947,10000-15000,Electrical Products,34-43
46,7,1438,23,1876,12992,13397,15000-20000,Fornitures,43-52
20,20,2300,5303,2366,3511,9207,0-2500,Games,16-25
34,6,99,564,1852,13248,12391,2500-10000,Food,34-43
39,5,2044,767,152,12618,7190,10000-15000,Electrical Products,34-43
31,10,435,1138,122,8630,13110,2500-10000,Food,25-16
33,6,1911,2829,1848,2210,5463,2500-10000,Food,25-16
42,5,3371,521,156,8514,7317,10000-15000,Electrical Products,34-43
41,4,1802,1414,1176,11384,2350,10000-15000,Electrical Products,34-43
34,18,3569,4396,542,22979,14303,2500-10000,Food,34-43
55,4,137,2601,1694,6092,13243,20000-25000,Travels,52-61
38,15,2015,2258,1123,22121,6093,10000-15000,Electrical Products,34-43
36,16,2985,5991,94,7632,12111,10000-15000,Electrical Products,34-43
43,20,2330,6526,1009,10200,13434,10000-15000,Electrical Products,43-52
42,7,4890,7637,1058,24549,11597,10000-15000,Electrical Products,34-43
40,9,2015,7275,115,5647,12315,10000-15000,Electrical Products,34-43
40,13,1055,3017,1804,17740,11131,10000-15000,Electrical Products,34-43
24,8,4246,1003,1072,1604,13536,0-2500,Games,16-25
51,11,1291,5479,495,17199,12739,15000-20000,Fornitures,43-52
41,13,3461,4175,2232,24093,1957,10000-15000,Electrical Products,34-43
37,11,4477,6537,2338,1546,201,10000-15000,Electrical Products,34-43
52,16,4371,9142,1319,17767,8942,15000-20000,Fornitures,52-61
43,6,4654,4248,710,18938,7748,10000-15000,Electrical Products,43-52
43,10,140,2833,605,385,5917,10000-15000,Electrical Products,43-52
42,20,2300,5824,1267,13441,1365,10000-15000,Electrical Products,34-43
39,3,74,4761,410,18678,9739,10000-15000,Electrical Products,34-43
48,17,1354,1316,1632,20436,1089,15000-20000,Fornitures,43-52
33,9,2414,3413,2494,11575,11531,2500-10000,Food,25-16
27,3,992,1862,579,3675,1993,2500-10000,Food,25-16
34,5,675,1466,2194,4786,12144,2500-10000,Food,34-43
27,10,333,8262,1512,5498,11530,2500-10000,Food,25-16
47,1,4677,1917,815,19128,7540,15000-20000,Fornitures,43-52
36,14,804,1263,1137,24043,3769,10000-15000,Electrical Products,34-43
50,17,3836,7939,2358,7689,12693,15000-20000,Fornitures,43-52
33,15,2942,9992,2050,13241,11060,2500-10000,Food,25-16
46,19,4706,4439,1670,18982,1037,15000-20000,Fornitures,43-52
40,11,1155,350,1423,7516,7433,10000-15000,Electrical Products,34-43
35,6,1035,8261,929,7985,9575,10000-15000,Electrical Products,34-43
47,16,4624,4892,1237,5748,14937,15000-20000,Fornitures,43-52
30,4,4277,2043,1896,20007,13501,2500-10000,Food,25-16
35,13,3391,2318,1485,4504,8192,10000-15000,Electrical Products,34-43
44,13,2397,7321,1412,14600,4275,15000-20000,Fornitures,43-52
27,20,1810,378,659,5204,968,2500-10000,Food,25-16
42,12,1397,6307,2006,3628,13554,10000-15000,Electrical Products,34-43
31,7,4787,6519,2460,23931,13079,2500-10000,Food,25-16
41,18,4368,6732,1861,10774,8668,10000-15000,Electrical Products,34-43
51,14,1824,35,129,3576,7760,15000-20000,Fornitures,43-52
56,10,4631,1944,1011,13253,7290,20000-25000,Travels,52-61
45,14,3385,7292,677,9249,14751,15000-20000,Fornitures,43-52
45,17,1986,6590,631,18703,401,15000-20000,Fornitures,43-52
53,2,3933,6517,2431,9886,11058,20000-25000,Travels,52-61
41,12,1988,8710,1989,13833,11321,10000-15000,Electrical Products,34-43
34,1,3602,6892,500,562,9596,2500-10000,Food,34-43
30,5,1453,2969,525,9079,10227,2500-10000,Food,25-16
38,18,680,6382,926,23393,13347,10000-15000,Electrical Products,34-43
31,8,4693,8397,309,13659,3054,2500-10000,Food,25-16
43,10,355,5852,951,9636,13826,10000-15000,Electrical Products,43-52
37,8,593,5557,1990,799,1971,10000-15000,Electrical Products,34-43
48,4,52,1517,1951,12565,637,15000-20000,Fornitures,43-52
45,20,2830,5579,1999,4644,3881,15000-20000,Fornitures,43-52
45,6,2620,5492,459,22750,13081,15000-20000,Fornitures,43-52
41,14,1714,6749,1976,17626,9636,10000-15000,Electrical Products,34-43
39,11,2096,5309,2075,2362,1679,10000-15000,Electrical Products,34-43
51,10,3145,1961,2486,24628,14866,15000-20000,Fornitures,43-52
40,9,2910,1835,1989,5235,4117,10000-15000,Electrical Products,34-43
38,16,1678,8221,384,20106,11524,10000-15000,Electrical Products,34-43
44,9,3659,150,145,14940,4374,15000-20000,Fornitures,43-52
30,18,2112,8458,271,21350,13775,2500-10000,Food,25-16
42,2,2352,3492,1108,13342,9156,10000-15000,Electrical Products,34-43
34,7,382,6741,214,13940,5745,2500-10000,Food,34-43
35,8,656,8052,927,13176,11183,10000-15000,Electrical Products,34-43
44,3,2651,1837,1999,11248,7567,15000-20000,Fornitures,43-52
46,9,3232,7110,1484,613,14269,15000-20000,Fornitures,43-52
49,2,505,2957,876,19026,9885,15000-20000,Fornitures,43-52
53,19,2193,5662,1417,10984,5908,20000-25000,Travels,52-61
36,12,3389,4660,1077,18394,1197,10000-15000,Electrical Products,34-43
34,1,3627,9064,20,279,196,2500-10000,Food,34-43
49,9,2481,4002,2047,14854,10750,15000-20000,Fornitures,43-52
37,16,3231,3162,1932,21819,6288,10000-15000,Electrical Products,34-43
49,2,1940,6857,2079,11913,3694,15000-20000,Fornitures,43-52
60,1,1253,1788,1764,527,9324,20000-25000,Travels,52-61
49,2,665,9675,1865,8192,1657,15000-20000,Fornitures,43-52
28,12,4354,7352,100,17094,2401,2500-10000,Food,25-16
49,2,1514,4168,1096,18750,3863,15000-20000,Fornitures,43-52
47,20,3940,7962,31,1870,6445,15000-20000,Fornitures,43-52
50,9,2876,6498,1320,13178,5021,15000-20000,Fornitures,43-52
42,6,3088,8182,230,14813,7720,10000-15000,Electrical Products,34-43
48,10,1626,1260,1432,18097,4882,15000-20000,Fornitures,43-52
55,11,1899,249,2272,9517,8659,20000-25000,Travels,52-61
39,19,2543,2131,2336,9089,9504,10000-15000,Electrical Products,34-43
46,1,1775,8542,1378,17900,8368,15000-20000,Fornitures,43-52
37,9,4413,2084,1060,4331,13120,10000-15000,Electrical Products,34-43
37,20,3223,7714,933,14311,4981,10000-15000,Electrical Products,34-43
45,6,980,479,1361,3930,7870,15000-20000,Fornitures,43-52
48,19,1935,9651,1579,1194,9842,15000-20000,Fornitures,43-52
57,14,870,3882,1081,15894,13443,20000-25000,Travels,52-61
49,13,204,7157,350,10150,3378,15000-20000,Fornitures,43-52
54,14,4822,1829,746,6586,14283,20000-25000,Travels,52-61
41,4,191,2143,2043,9565,1332,10000-15000,Electrical Products,34-43
47,19,1672,8917,288,3214,11611,15000-20000,Fornitures,43-52
45,19,2241,7635,1067,15805,14159,15000-20000,Fornitures,43-52
36,5,4866,444,1252,16342,11999,10000-15000,Electrical Products,34-43
43,4,1929,3781,1476,17675,7819,10000-15000,Electrical Products,43-52
58,1,3653,5116,1040,2361,8384,20000-25000,Travels,52-61
29,17,1503,3033,487,10755,10003,2500-10000,Food,25-16
59,17,3072,2255,563,11208,346,20000-25000,Travels,52-61
43,12,2335,482,504,12950,9405,10000-15000,Electrical Products,43-52
25,12,3956,9856,1488,6386,6417,0-2500,Games,25-16
64,10,1484,1877,2458,24497,8524,0-10000,Home Prodcts,61-70
48,20,4649,6895,887,18676,3632,15000-20000,Fornitures,43-52
28,11,2014,4975,684,3378,3190,2500-10000,Food,25-16
39,5,2949,1737,586,5542,14086,10000-15000,Electrical Products,34-43
39,9,768,2122,1456,13644,4329,10000-15000,Electrical Products,34-43
60,4,1279,8799,204,20642,7772,20000-25000,Travels,52-61
40,6,2953,8857,872,11706,13093,10000-15000,Electrical Products,34-43
50,17,3442,82,949,15145,8278,15000-20000,Fornitures,43-52
40,18,2073,5947,693,11962,5088,10000-15000,Electrical Products,34-43
50,9,3117,7034,2121,4122,931,15000-20000,Fornitures,43-52
50,10,1736,3289,1056,6997,9285,15000-20000,Fornitures,43-52
45,7,411,8092,479,12855,1657,15000-20000,Fornitures,43-52
27,2,385,520,1331,9625,13703,2500-10000,Food,25-16
51,3,1576,7421,2013,7533,2451,15000-20000,Fornitures,43-52
31,17,2935,8432,1903,837,12887,2500-10000,Food,25-16
41,20,491,704,1499,17346,9872,10000-15000,Electrical Products,34-43
29,9,2414,8885,1664,20521,9726,2500-10000,Food,25-16
48,14,1169,3475,937,23719,9794,15000-20000,Fornitures,43-52
59,9,1785,6891,165,15990,6708,20000-25000,Travels,52-61
59,16,1497,8881,1530,5776,11791,20000-25000,Travels,52-61
37,15,4468,8410,262,2849,10643,10000-15000,Electrical Products,34-43
30,13,3139,5502,857,2086,5528,2500-10000,Food,25-16
46,5,3338,7023,951,1433,14363,15000-20000,Fornitures,43-52
24,15,1603,4275,770,3110,5378,0-2500,Games,16-25
48,16,4769,7961,2304,13326,10075,15000-20000,Fornitures,43-52
42,9,3517,9119,323,22745,12817,10000-15000,Electrical Products,34-43
50,17,2226,6831,1002,6842,11635,15000-20000,Fornitures,43-52
37,19,2172,7743,980,22746,4735,10000-15000,Electrical Products,34-43
42,14,413,8052,803,17009,9959,10000-15000,Electrical Products,34-43
45,19,4045,423,2249,1712,5922,15000-20000,Fornitures,43-52
51,2,4263,4836,1567,24024,12367,15000-20000,Fornitures,43-52
35,3,3327,8749,1471,16262,2056,10000-15000,Electrical Products,34-43
46,14,4498,4014,261,15551,16,15000-20000,Fornitures,43-52
37,2,58,2780,927,3800,14607,10000-15000,Electrical Products,34-43
28,11,835,3581,1934,1225,14499,2500-10000,Food,25-16
45,13,3978,2473,2468,17905,14106,15000-20000,Fornitures,43-52
21,19,721,9700,501,16393,7037,0-2500,Games,16-25
34,3,998,2452,1937,3606,12112,2500-10000,Food,34-43
36,1,2448,3699,78,18804,4943,10000-15000,Electrical Products,34-43
38,11,1946,7551,2466,10838,5218,10000-15000,Electrical Products,34-43
42,20,339,2629,1065,6359,3870,10000-15000,Electrical Products,34-43
32,12,4281,6652,2172,11296,5051,2500-10000,Food,25-16
54,7,1457,9241,1658,18843,10779,20000-25000,Travels,52-61
36,20,2490,3730,1776,14216,12156,10000-15000,Electrical Products,34-43
42,5,2524,5256,697,14078,11382,10000-15000,Electrical Products,34-43
34,19,625,4671,998,13916,2229,2500-10000,Food,34-43
53,13,708,8640,441,6547,9154,20000-25000,Travels,52-61
47,17,892,6175,513,14094,3473,15000-20000,Fornitures,43-52
35,17,1038,7162,1,8948,3942,10000-15000,Electrical Products,34-43
55,4,1413,1299,867,9998,9418,20000-25000,Travels,52-61
35,4,2264,3855,712,2843,13151,10000-15000,Electrical Products,34-43
16,8,2500,5284,888,2613,13307,0-2500,Games,16-25
50,19,3733,4340,2149,5160,10879,15000-20000,Fornitures,43-52
32,6,4973,581,2277,6401,5113,2500-10000,Food,25-16
33,5,4061,9285,1398,2565,8556,2500-10000,Food,25-16
30,10,3090,5205,77,16543,11654,2500-10000,Food,25-16
48,17,1094,435,1751,4251,1831,15000-20000,Fornitures,43-52
28,13,3433,3969,2172,21085,4902,2500-10000,Food,25-16
44,17,168,3250,303,24790,9887,15000-20000,Fornitures,43-52
41,12,2003,4804,2093,7033,9627,10000-15000,Electrical Products,34-43
41,10,4755,5884,1025,126,8542,10000-15000,Electrical Products,34-43
26,1,1190,6590,2190,16990,9218,2500-10000,Food,25-16
16,1,3053,6078,1387,9626,2755,0-2500,Games,16-25
37,11,3047,9690,762,947,2099,10000-15000,Electrical Products,34-43
35,7,1388,1874,2287,907,13461,10000-15000,Electrical Products,34-43
55,15,2622,596,562,14113,2265,20000-25000,Travels,52-61
32,19,796,352,2487,12267,4728,2500-10000,Food,25-16
32,14,3236,8504,1838,7568,1551,2500-10000,Food,25-16
48,12,404,2316,1851,12204,3336,15000-20000,Fornitures,43-52
35,12,1811,4277,814,4238,3228,10000-15000,Electrical Products,34-43
44,20,2631,6458,2464,8870,7722,15000-20000,Fornitures,43-52
47,17,1634,9130,193,12887,4487,15000-20000,Fornitures,43-52
48,10,2424,8160,513,13717,12061,15000-20000,Fornitures,43-52
54,19,3322,5610,2125,3851,13918,20000-25000,Travels,52-61
51,12,3228,9124,1926,17603,7331,15000-20000,Fornitures,43-52
44,9,834,7465,400,5884,14987,15000-20000,Fornitures,43-52
43,8,4457,3354,702,21910,13735,10000-15000,Electrical Products,43-52
32,6,3777,8493,2000,10004,4632,2500-10000,Food,25-16
43,3,3919,2984,798,375,10121,10000-15000,Electrical Products,43-52
47,9,3219,9356,1540,21298,10406,15000-20000,Fornitures,43-52
40,7,3264,8714,93,24983,5885,10000-15000,Electrical Products,34-43
49,6,4856,6512,1973,15216,8906,15000-20000,Fornitures,43-52
41,2,3650,9095,1228,48,8150,10000-15000,Electrical Products,34-43
41,14,3736,4536,395,2381,7923,10000-15000,Electrical Products,34-43
45,20,2316,4301,1247,16842,10257,15000-20000,Fornitures,43-52
39,11,4038,4774,1215,17306,7285,10000-15000,Electrical Products,34-43
36,17,2465,2069,947,7161,5959,10000-15000,Electrical Products,34-43
47,1,3884,8054,2323,17769,2607,15000-20000,Fornitures,43-52
36,11,4931,2510,1745,21281,14081,10000-15000,Electrical Products,34-43
45,7,3399,4327,716,9986,3732,15000-20000,Fornitures,43-52
41,6,4454,4086,1697,3785,3342,10000-15000,Electrical Products,34-43
51,9,3275,3254,1493,23497,11344,15000-20000,Fornitures,43-52
45,20,3112,8518,1866,22337,11907,15000-20000,Fornitures,43-52
51,4,2260,8834,510,23583,8235,15000-20000,Fornitures,43-52
44,11,1819,7139,1892,13605,2486,15000-20000,Fornitures,43-52
42,16,4643,4726,995,22730,14716,10000-15000,Electrical Products,34-43
40,7,2153,5956,422,20635,14229,10000-15000,Electrical Products,34-43
38,14,1261,6917,1665,21043,6240,10000-15000,Electrical Products,34-43
32,8,1431,2071,2444,9137,8574,2500-10000,Food,25-16
54,1,4962,7776,874,16746,13748,20000-25000,Travels,52-61
27,8,1707,250,1223,16864,3643,2500-10000,Food,25-16
35,9,2798,4951,1499,8495,12986,10000-15000,Electrical Products,34-43
50,18,4828,4973,769,18633,13457,15000-20000,Fornitures,43-52
33,18,1218,8292,1252,20313,463,2500-10000,Food,25-16
38,2,186,6000,2063,20812,124,10000-15000,Electrical Products,34-43
56,10,3808,3276,2448,1669,11628,20000-25000,Travels,52-61
42,6,2244,2699,685,844,1170,10000-15000,Electrical Products,34-43
29,13,3453,4857,1422,20941,6608,2500-10000,Food,25-16
41,18,44,9509,716,14689,235,10000-15000,Electrical Products,34-43
50,20,4574,4592,1823,13916,14839,15000-20000,Fornitures,43-52
44,15,4540,7300,782,21847,5605,15000-20000,Fornitures,43-52
41,8,3573,6724,860,18470,1157,10000-15000,Electrical Products,34-43
57,10,4023,8624,1975,16612,9451,20000-25000,Travels,52-61
44,18,4917,740,1982,5855,2201,15000-20000,Fornitures,43-52
47,15,1488,2055,74,16826,1308,15000-20000,Fornitures,43-52
44,14,2332,6093,1252,22547,1046,15000-20000,Fornitures,43-52
38,10,2888,6647,1973,17466,1496,10000-15000,Electrical Products,34-43
36,8,726,2904,577,6926,7336,10000-15000,Electrical Products,34-43
37,2,1878,7120,2154,20136,6274,10000-15000,Electrical Products,34-43
34,19,1917,6924,911,17705,3832,2500-10000,Food,34-43
27,8,732,8382,472,2574,8855,2500-10000,Food,25-16
28,18,3298,4482,1483,7494,6786,2500-10000,Food,25-16
36,12,2594,966,445,1074,10469,10000-15000,Electrical Products,34-43
48,18,3266,5734,876,15643,10231,15000-20000,Fornitures,43-52
31,18,1142,6007,1473,13621,7832,2500-10000,Food,25-16
52,20,3211,274,302,5009,2645,15000-20000,Fornitures,52-61
64,20,4746,6035,2052,8293,12501,0-10000,Home Prodcts,61-70
49,5,3907,3817,221,14770,8396,15000-20000,Fornitures,43-52
55,16,1969,1689,519,7804,8221,20000-25000,Travels,52-61
48,7,1531,4820,1394,8459,12667,15000-20000,Fornitures,43-52
42,7,3444,7116,17,13497,14049,10000-15000,Electrical Products,34-43
37,7,615,7538,1103,8629,10213,10000-15000,Electrical Products,34-43
30,8,2063,352,1876,24256,4176,2500-10000,Food,25-16
34,7,2025,1524,51,12175,11289,2500-10000,Food,34-43
38,8,1979,1575,751,1532,9371,10000-15000,Electrical Products,34-43
26,17,1974,7899,1812,12745,13292,2500-10000,Food,25-16
38,8,2895,4622,2135,10084,12528,10000-15000,Electrical Products,34-43
39,19,4193,8723,2108,8377,6930,10000-15000,Electrical Products,34-43
45,8,4922,571,2316,21834,4649,15000-20000,Fornitures,43-52
40,14,106,847,2212,13983,10701,10000-15000,Electrical Products,34-43
50,19,2424,2391,2143,899,11455,15000-20000,Fornitures,43-52
37,17,1351,6397,2265,10949,11918,10000-15000,Electrical Products,34-43
32,19,1613,1578,122,8562,14345,2500-10000,Food,25-16
57,20,786,8597,116,3114,1859,20000-25000,Travels,52-61
50,4,2121,8302,189,4694,10427,15000-20000,Fornitures,43-52
40,14,3654,8439,2062,16567,5943,10000-15000,Electrical Products,34-43
44,18,739,204,2451,23107,9450,15000-20000,Fornitures,43-52
36,17,3024,7380,276,24302,4725,10000-15000,Electrical Products,34-43
53,5,1893,784,926,2495,5997,20000-25000,Travels,52-61
40,17,414,6629,2234,7748,3860,10000-15000,Electrical Products,34-43
26,6,4849,9578,1421,412,251,2500-10000,Food,25-16
46,7,4507,600,724,8991,2208,15000-20000,Fornitures,43-52
52,14,1930,5397,646,16221,10261,15000-20000,Fornitures,52-61
22,18,1441,615,1264,18732,3261,0-2500,Games,16-25
40,9,2486,1887,1375,8847,8220,10000-15000,Electrical Products,34-43
46,19,4643,7029,1576,19513,10545,15000-20000,Fornitures,43-52
49,15,4938,218,1975,4161,1606,15000-20000,Fornitures,43-52
38,8,944,2314,191,16367,13863,10000-15000,Electrical Products,34-43
40,4,2769,8009,2241,2967,8874,10000-15000,Electrical Products,34-43
32,19,1615,2029,2398,22857,2478,2500-10000,Food,25-16
38,12,4113,5212,319,16935,1429,10000-15000,Electrical Products,34-43
51,3,1403,6382,731,10378,9276,15000-20000,Fornitures,43-52
44,18,4654,7614,2440,8220,9180,15000-20000,Fornitures,43-52
29,17,2666,6558,1512,6546,6718,2500-10000,Food,25-16
59,8,1610,4396,2487,4171,2695,20000-25000,Travels,52-61
34,2,2153,1263,174,3427,11678,2500-10000,Food,34-43
51,19,905,472,2430,21970,491,15000-20000,Fornitures,43-52
57,14,2072,5636,2355,16042,2653,20000-25000,Travels,52-61
51,2,3819,4399,520,24215,4381,15000-20000,Fornitures,43-52
51,16,4845,5698,2296,781,14983,15000-20000,Fornitures,43-52
46,15,813,1140,658,11290,8181,15000-20000,Fornitures,43-52
40,1,1635,5832,1053,15149,12645,10000-15000,Electrical Products,34-43
40,19,233,8041,1708,5523,2498,10000-15000,Electrical Products,34-43
58,13,3421,3034,2289,3499,6305,20000-25000,Travels,52-61
56,8,344,271,274,3517,10605,20000-25000,Travels,52-61
57,11,1270,3752,258,4677,714,20000-25000,Travels,52-61
65,10,2741,5451,740,2436,5259,0-10000,Home Prodcts,61-70
48,5,3962,1374,110,13067,10947,15000-20000,Fornitures,43-52
27,17,594,9746,1578,22711,11778,2500-10000,Food,25-16
48,9,4745,6762,1362,18473,13572,15000-20000,Fornitures,43-52
35,20,3759,7434,1545,2220,6810,10000-15000,Electrical Products,34-43
53,16,1662,2754,588,13401,1226,20000-25000,Travels,52-61
40,19,144,1209,501,18857,9672,10000-15000,Electrical Products,34-43
35,17,299,2752,138,22375,8567,10000-15000,Electrical Products,34-43
46,12,2417,4376,778,15596,4968,15000-20000,Fornitures,43-52
38,15,3943,9330,2471,4815,4951,10000-15000,Electrical Products,34-43
38,12,2034,9798,368,19618,7110,10000-15000,Electrical Products,34-43
48,17,2628,2399,1723,18845,3754,15000-20000,Fornitures,43-52
54,16,3386,9742,1222,21877,7394,20000-25000,Travels,52-61
48,19,2646,2528,1222,13926,9227,15000-20000,Fornitures,43-52
41,9,3515,8427,1515,7725,4557,10000-15000,Electrical Products,34-43
42,10,2525,7579,427,4140,7918,10000-15000,Electrical Products,34-43
48,8,1911,16,529,5090,1325,15000-20000,Fornitures,43-52
46,1,3120,4673,141,6049,8797,15000-20000,Fornitures,43-52
32,14,2851,9018,1484,16648,14643,2500-10000,Food,25-16
48,3,3040,5869,459,255,6526,15000-20000,Fornitures,43-52
60,12,3673,2407,2152,1067,3318,20000-25000,Travels,52-61
54,14,2580,1989,2051,8803,11114,20000-25000,Travels,52-61
42,1,4497,334,1071,19807,1677,10000-15000,Electrical Products,34-43
38,8,2658,6653,849,12771,11877,10000-15000,Electrical Products,34-43
59,8,908,8819,646,16387,2957,20000-25000,Travels,52-61
54,4,4566,2794,712,12155,14691,20000-25000,Travels,52-61
51,18,4118,9938,469,6438,7789,15000-20000,Fornitures,43-52
42,5,374,8434,1268,16095,2818,10000-15000,Electrical Products,34-43
48,8,55,9806,522,23584,12163,15000-20000,Fornitures,43-52
38,19,1613,6066,1161,7077,1744,10000-15000,Electrical Products,34-43
53,8,482,919,1666,23733,12571,20000-25000,Travels,52-61
55,15,70,8240,2196,14481,2508,20000-25000,Travels,52-61
